,listed_price,price_trend,day_of_week,month,week_of_year,ma_7,ma_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price,rolling_mean_3
listed_price,1.0,0.16117707071602508,0.002639171046820796,0.10236135884962562,0.08825755656740214,0.8305783324278176,0.7084114951512241,-0.07184255295623948,0.5126830875193538,0.8806549669808735,0.785755105380195,0.709601361603501,0.505287118932223,0.3477167582153315,0.9977173001304445,0.9364125272029521
price_trend,0.16117707071602508,1.0,-0.02456657282150992,-0.031419272364452605,-0.03183569701879427,-0.1227222001430021,-0.09644731791912012,0.007591901441564893,0.2563695259184786,-0.2155379574492791,-0.18768535739462,-0.15410759335427626,-0.09318103833542955,0.009048681745963485,0.15925767540774197,-0.08478767097805788
day_of_week,0.002639171046820796,-0.02456657282150992,1.0,-0.00790903627695988,0.010212850863535511,0.004544264923928372,0.0014272950467721813,0.02121652681935673,0.0028429180819359093,0.023621568558173083,0.019187942088925932,-0.0035796720097361024,-0.0001639095312731924,-0.0012347677674431068,0.002060503935131233,0.01595070695674931
month,0.10236135884962562,-0.031419272364452605,-0.00790903627695988,1.0,0.9526557858576513,0.09619039918645338,0.09349025489007495,-0.2343948260504374,0.0347433874785865,0.10182695224236625,0.09381492434092797,0.08663090053977167,0.06954776624415587,0.048102528328762516,0.09843898333011208,0.10464335410594838
week_of_year,0.08825755656740214,-0.03183569701879427,0.010212850863535511,0.9526557858576513,1.0,0.0836609601304791,0.08138884443645293,-0.21093131419191652,0.023419651787271442,0.08825129474870298,0.08173178069638148,0.07322934796744979,0.0665350998254153,0.039713175858851306,0.08376791426168732,0.09067986097381907
ma_7,0.8305783324278176,-0.1227222001430021,0.004544264923928372,0.09619039918645338,0.0836609601304791,1.0,0.9155649276994927,0.014969522683634384,0.08644849231781548,0.8900112462108678,0.9221943030069327,0.9310954496994727,0.7607841890502361,0.4612503440182242,0.8254705804012846,0.9278150004600045
ma_14,0.7084114951512241,-0.09644731791912012,0.0014272950467721813,0.09349025489007495,0.08138884443645293,0.9155649276994927,1.0,0.04118553575942564,-0.15317406193965236,0.7582050446486256,0.7982522094309304,0.8296935242661685,0.8769460805882184,0.6740429453169813,0.7030482518356842,0.7951206507204599
volatility_7,-0.07184255295623948,0.007591901441564893,0.02121652681935673,-0.2343948260504374,-0.21093131419191652,0.014969522683634384,0.04118553575942564,1.0,-0.1502113489979967,-0.06770052484528927,-0.03373736123949191,0.01145266691655867,0.077655292091592,0.07792446558169598,-0.09733455439991687,-0.06089320777320503
momentum_7,0.5126830875193538,0.2563695259184786,0.0028429180819359093,0.0347433874785865,0.023419651787271442,0.08644849231781548,-0.15317406193965236,-0.1502113489979967,1.0,0.353070613295228,0.20497189171460944,0.05826737979471755,-0.4818587662275981,-0.1780064863089256,0.5147440027473589,0.37626086638314393
price_lag_1,0.8806549669808735,-0.2155379574492791,0.023621568558173083,0.10182695224236625,0.08825129474870298,0.8900112462108678,0.7582050446486256,-0.06770052484528927,0.353070613295228,1.0,0.8893019935851327,0.7939556888660458,0.543911262326457,0.3498158444838952,0.877711190742284,0.972641321000475
price_lag_2,0.785755105380195,-0.18768535739462,0.019187942088925932,0.09381492434092797,0.08173178069638148,0.9221943030069327,0.7982522094309304,-0.03373736123949191,0.20497189171460944,0.8893019935851327,1.0,0.8877953348659876,0.5959112991394072,0.37869624719192596,0.782295117569774,0.9390015626261332
price_lag_3,0.709601361603501,-0.15410759335427626,-0.0035796720097361024,0.08663090053977167,0.07322934796744979,0.9310954496994727,0.8296935242661685,0.01145266691655867,0.05826737979471755,0.7939556888660458,0.8877953348659876,1.0,0.6656419689139341,0.4037590617638427,0.7044459605982776,0.8394280232772607
price_lag_7,0.505287118932223,-0.09318103833542955,-0.0001639095312731924,0.06954776624415587,0.0665350998254153,0.7607841890502361,0.8769460805882184,0.077655292091592,-0.4818587662275981,0.543911262326457,0.5959112991394072,0.6656419689139341,1.0,0.5337865554242702,0.5008860242971471,0.5775080285993728
price_lag_14,0.3477167582153315,0.009048681745963485,-0.0012347677674431068,0.048102528328762516,0.039713175858851306,0.4612503440182242,0.6740429453169813,0.07792446558169598,-0.1780064863089256,0.3498158444838952,0.37869624719192596,0.4037590617638427,0.5337865554242702,1.0,0.3447531978814951,0.3778273728425937
log_price,0.9977173001304445,0.15925767540774197,0.002060503935131233,0.09843898333011208,0.08376791426168732,0.8254705804012846,0.7030482518356842,-0.09733455439991687,0.5147440027473589,0.877711190742284,0.782295117569774,0.7044459605982776,0.5008860242971471,0.3447531978814951,1.0,0.9333638334919128
rolling_mean_3,0.9364125272029521,-0.08478767097805788,0.01595070695674931,0.10464335410594838,0.09067986097381907,0.9278150004600045,0.7951206507204599,-0.06089320777320503,0.37626086638314393,0.972641321000475,0.9390015626261332,0.8394280232772607,0.5775080285993728,0.3778273728425937,0.9333638334919128,1.0
